"_id",uniqueClientIdsCount,uniqueTrainingPersonIdsCount,uniqueClientIds.0,uniqueClientIds.1,uniqueClientIds.2,uniqueClientIds.3
47.104.203.201,1,3144,009,,,
218.78.23.50,1,867,12100000717800718J,,,
47.96.17.4,1,531,ZYJY_JXJY@ANHUI,,,
121.196.193.131,1,495,ZYJY_JXJY@ANHUI,,,
47.99.99.5,1,134,010,,,
183.166.187.4,4,95,dc001,004,dongao123,ZHKJAH
112.26.233.230,2,21,dongao123,004,,
110.249.158.114,2,20,dongao123,ZHKJAH,,
60.172.158.14,2,20,ZHKJAH,dongao123,,
60.175.184.229,3,18,004,ZHKJAH,dongao123,
61.132.251.158,3,18,004,dongao123,ZHKJAH,
60.173.87.6,3,16,004,dongao123,ZHKJAH,
106.8.149.248,3,16,004,ZHKJAH,dongao123,
60.173.163.99,3,15,004,ZHKJAH,dongao123,
183.60.174.140,3,14,004,ZHKJAH,dongao123,
112.26.19.110,2,14,ZHKJAH,dongao123,,
61.190.204.158,3,13,004,ZHKJAH,dongao123,
220.180.83.2,4,13,dc001,004,ZHKJAH,dongao123
183.167.252.133,2,13,ZHKJAH,dongao123,,
58.242.87.162,2,12,ZHKJAH,dongao123,,
112.26.242.243,2,12,ZHKJAH,dongao123,,
220.179.174.212,3,12,004,ZHKJAH,dongao123,
112.122.139.14,3,11,004,ZHKJAH,dongao123,
223.215.191.10,3,11,004,ZHKJAH,dongao123,
60.175.3.67,3,11,004,dongao123,ZHKJAH,
218.23.56.46,2,11,ZHKJAH,dongao123,,
60.174.128.52,3,11,004,ZHKJAH,dongao123,
211.141.203.70,3,11,004,ZHKJAH,dongao123,
218.22.66.34,2,11,ZHKJAH,dongao123,,
220.178.74.10,3,10,004,ZHKJAH,dongao123,
61.132.139.122,2,10,ZHKJAH,dongao123,,
220.180.184.4,2,10,dongao123,ZHKJAH,,
218.22.173.89,3,10,004,ZHKJAH,dongao123,
60.173.87.4,3,10,004,ZHKJAH,dongao123,
218.22.185.132,1,10,ZHKJAH,,,
60.173.78.70,3,10,004,ZHKJAH,dongao123,
220.180.238.73,2,10,004,dongao123,,
220.180.207.207,2,10,ZHKJAH,dongao123,,
60.171.153.98,2,9,dongao123,ZHKJAH,,
218.22.147.83,2,9,dongao123,ZHKJAH,,
60.172.160.47,3,9,004,ZHKJAH,dongao123,
60.174.128.58,3,9,004,ZHKJAH,dongao123,
60.174.128.50,2,9,ZHKJAH,dongao123,,
60.173.82.156,3,9,004,ZHKJAH,dongao123,
60.170.181.82,1,9,dongao123,,,
218.22.116.43,2,9,ZHKJAH,dongao123,,
218.22.169.6,2,9,ZHKJAH,dongao123,,
220.179.251.130,3,9,004,dongao123,ZHKJAH,
60.169.22.205,3,9,004,ZHKJAH,dongao123,
220.178.148.44,2,9,ZHKJAH,dongao123,,
220.180.203.7,3,9,004,ZHKJAH,dongao123,
112.31.177.93,1,9,dongao123,,,
124.65.129.74,1,8,dongao123,,,
112.53.233.13,2,8,dongao123,ZHKJAH,,
218.22.173.92,2,8,ZHKJAH,dongao123,,
112.123.239.85,2,8,ZHKJAH,dongao123,,
60.173.82.22,2,8,004,dongao123,,
36.4.201.35,1,8,ZHKJAH,,,
58.242.245.178,3,8,004,dongao123,ZHKJAH,
114.105.148.121,1,8,ZHKJAH,,,
112.26.19.106,3,8,004,dongao123,ZHKJAH,
218.22.176.230,3,8,ZHKJAH,dongao123,004,
220.180.50.224,2,8,dongao123,ZHKJAH,,
220.179.122.70,2,8,ZHKJAH,dongao123,,
218.23.216.252,2,8,ZHKJAH,dongao123,,
117.71.48.30,2,8,ZHKJAH,dongao123,,
58.242.244.242,3,8,004,ZHKJAH,dongao123,
223.214.124.100,2,8,ZHKJAH,dongao123,,
111.39.9.225,2,8,ZHKJAH,dongao123,,
60.175.184.227,2,8,dongao123,ZHKJAH,,
58.242.184.110,2,7,dongao123,ZHKJAH,,
112.132.249.161,3,7,004,dongao123,ZHKJAH,
114.104.157.234,3,7,004,ZHKJAH,dongao123,
220.178.74.11,3,7,ZHKJAH,dongao123,004,
60.173.87.7,2,7,ZHKJAH,dongao123,,
112.53.236.74,2,7,ZHKJAH,dongao123,,
60.168.146.39,1,7,ZHKJAH,,,
220.179.157.46,2,7,dongao123,ZHKJAH,,
36.148.183.21,2,7,dongao123,ZHKJAH,,
220.178.74.9,3,7,004,dongao123,ZHKJAH,
112.26.19.108,2,7,ZHKJAH,dongao123,,
117.57.64.73,3,7,004,ZHKJAH,dongao123,
36.56.153.41,1,7,dongao123,,,
218.23.216.253,3,7,004,ZHKJAH,dongao123,
114.99.127.224,2,7,ZHKJAH,dongao123,,
60.170.38.113,2,7,ZHKJAH,dongao123,,
114.105.105.46,1,7,ZHKJAH,,,
218.23.241.122,3,7,004,dongao123,ZHKJAH,
220.178.246.85,3,7,004,ZHKJAH,dongao123,
220.180.7.194,2,7,ZHKJAH,dongao123,,
39.107.180.20,1,7,BJNAI,,,
218.23.237.240,2,7,ZHKJAH,dongao123,,
60.172.160.56,2,6,ZHKJAH,dongao123,,
60.170.155.171,2,6,ZHKJAH,dongao123,,
211.141.185.18,3,6,004,ZHKJAH,dongao123,
58.242.131.172,2,6,ZHKJAH,dongao123,,
58.242.87.132,2,6,ZHKJAH,dongao123,,
223.241.247.138,3,6,004,ZHKJAH,dongao123,
183.167.205.51,1,6,dongao123,,,
220.180.150.245,2,6,ZHKJAH,dongao123,,
58.242.245.181,2,6,ZHKJAH,dongao123,,
60.174.165.241,2,6,ZHKJAH,dongao123,,
124.112.195.188,3,6,004,dongao123,ZHKJAH,
61.191.79.24,1,6,dongao123,,,
114.104.171.128,3,6,ZHKJAH,dongao123,004,
58.242.114.66,3,6,004,ZHKJAH,dongao123,
60.171.132.201,2,6,dongao123,ZHKJAH,,
111.38.38.136,2,6,ZHKJAH,dongao123,,
60.173.1.224,2,6,dongao123,ZHKJAH,,
60.172.160.58,2,6,ZHKJAH,dongao123,,
60.170.236.212,2,6,ZHKJAH,dongao123,,
218.22.201.174,1,6,dongao123,,,
112.27.239.12,2,6,dongao123,ZHKJAH,,
60.173.130.195,1,6,dongao123,,,
218.22.182.38,1,6,ZHKJAH,,,
60.172.0.128,3,6,004,ZHKJAH,dongao123,
103.202.192.245,2,6,dongao123,ZHKJAH,,
218.23.208.135,1,6,dongao123,,,
114.99.43.204,3,6,004,dongao123,ZHKJAH,
60.171.236.250,3,6,ZHKJAH,dongao123,004,
223.244.226.15,2,6,dongao123,ZHKJAH,,
36.32.162.45,2,6,dongao123,ZHKJAH,,
58.242.131.170,2,6,ZHKJAH,dongao123,,
120.242.255.186,1,5,dongao123,,,
112.26.112.206,1,5,dongao123,,,
220.179.229.7,2,5,dongao123,ZHKJAH,,
218.22.181.6,3,5,004,dongao123,ZHKJAH,
112.29.99.205,1,5,dongao123,,,
60.172.2.58,3,5,004,ZHKJAH,dongao123,
58.242.136.165,3,5,dongao123,ZHKJAH,004,
220.178.150.46,1,5,dongao123,,,
117.71.52.238,2,5,ZHKJAH,dongao123,,
183.166.61.2,2,5,004,dongao123,,
36.33.43.95,3,5,004,dongao123,ZHKJAH,
58.242.131.173,2,5,ZHKJAH,dongao123,,
223.215.191.227,3,5,004,ZHKJAH,dongao123,
60.171.208.139,2,5,ZHKJAH,dongao123,,
60.174.128.53,2,5,ZHKJAH,dongao123,,
218.22.173.88,2,5,dongao123,ZHKJAH,,
218.22.77.218,2,5,ZHKJAH,dongao123,,
220.180.213.251,2,5,ZHKJAH,dongao123,,
114.104.174.233,2,5,004,dongao123,,
60.173.219.127,2,5,dongao123,ZHKJAH,,
60.174.128.55,2,5,ZHKJAH,dongao123,,
117.71.48.32,2,5,dongao123,ZHKJAH,,
112.132.249.130,2,5,ZHKJAH,dongao123,,
220.179.1.238,1,5,ZHKJAH,,,
61.191.253.250,2,5,dongao123,ZHKJAH,,
60.173.85.67,1,5,dongao123,,,
58.242.120.74,1,5,dongao123,,,
60.172.144.74,3,5,dc001,ZHKJAH,dongao123,
60.174.93.89,2,5,ZHKJAH,dongao123,,
183.161.35.14,2,5,dongao123,ZHKJAH,,
60.173.82.155,3,5,004,ZHKJAH,dongao123,
60.174.50.202,2,5,dongao123,ZHKJAH,,
60.173.219.123,2,5,ZHKJAH,dongao123,,
112.26.19.107,2,5,ZHKJAH,dongao123,,
220.178.221.2,3,5,004,ZHKJAH,dongao123,
117.71.48.31,3,5,ZHKJAH,dongao123,004,
218.22.206.54,2,5,ZHKJAH,dongao123,,
112.27.82.17,2,5,ZHKJAH,dongao123,,
112.26.19.109,3,5,004,dongao123,ZHKJAH,
60.174.128.56,3,5,004,ZHKJAH,dongao123,
39.146.97.163,2,5,dongao123,004,,
112.26.95.3,2,5,ZHKJAH,dongao123,,
211.141.223.22,3,5,ZHKJAH,dongao123,004,
112.26.19.105,1,5,ZHKJAH,,,
60.169.88.131,3,5,ZHKJAH,dongao123,004,
60.172.168.246,1,5,dongao123,,,
60.173.3.56,3,5,dongao123,ZHKJAH,004,
218.23.51.174,2,5,dongao123,ZHKJAH,,
114.99.121.96,2,5,004,ZHKJAH,,
218.23.86.11,1,5,dongao123,,,
36.7.89.95,2,5,ZHKJAH,dongao123,,
218.23.112.5,2,5,ZHKJAH,dongao123,,
61.191.65.110,1,5,dongao123,,,
218.23.216.255,4,5,dc001,004,ZHKJAH,dongao123
112.122.255.122,2,5,dongao123,ZHKJAH,,
60.172.160.57,2,5,ZHKJAH,dongao123,,
218.22.49.167,2,5,dongao123,ZHKJAH,,
112.32.177.228,2,4,dc001,dongao123,,
112.32.181.213,2,4,dc001,dongao123,,
112.32.179.153,1,4,dongao123,,,
112.32.177.201,2,4,dc001,dongao123,,
60.173.155.51,1,4,ZHKJAH,,,
112.26.233.231,2,4,ZHKJAH,dongao123,,
220.179.16.102,2,4,dongao123,ZHKJAH,,
60.174.128.59,2,4,004,dongao123,,
114.105.33.115,1,4,dongao123,,,
220.180.184.202,1,4,dongao123,,,
60.173.161.141,2,4,dongao123,ZHKJAH,,
220.179.26.167,2,4,ZHKJAH,dongao123,,
218.22.135.138,1,4,dongao123,,,
36.63.1.244,1,4,dongao123,,,
60.173.105.206,2,4,ZHKJAH,dongao123,,
117.66.200.99,1,4,dongao123,,,
60.169.86.125,2,4,dongao123,ZHKJAH,,
58.242.44.34,2,4,004,ZHKJAH,,
114.104.163.167,1,4,dongao123,,,
60.174.192.209,1,4,dongao123,,,
60.173.71.197,2,4,dongao123,ZHKJAH,,
114.104.101.78,2,4,ZHKJAH,dongao123,,
183.166.61.11,2,4,ZHKJAH,dongao123,,
112.30.85.28,3,4,ZHKJAH,dongao123,004,
112.123.239.91,2,4,ZHKJAH,dongao123,,
36.34.135.242,2,4,ZHKJAH,dongao123,,
60.175.184.228,2,4,ZHKJAH,dongao123,,
58.242.244.244,3,4,004,dongao123,ZHKJAH,
114.104.196.73,2,4,ZHKJAH,dongao123,,
60.169.88.194,3,4,ZHKJAH,dongao123,004,
123.185.78.41,1,4,dc001,,,
220.180.76.52,1,4,dongao123,,,
211.141.223.4,2,4,ZHKJAH,dongao123,,
112.32.94.68,1,4,ZHKJAH,,,
61.191.248.170,2,4,ZHKJAH,dongao123,,
220.178.101.66,1,4,dongao123,,,
112.27.32.232,1,4,ZHKJAH,,,
211.141.181.190,2,4,ZHKJAH,dongao123,,
60.172.0.144,3,4,004,ZHKJAH,dongao123,
60.175.72.118,1,4,dongao123,,,
60.172.149.3,2,4,ZHKJAH,dongao123,,
60.170.26.22,1,4,dongao123,,,
117.71.179.60,3,4,ZHKJAH,dongao123,004,
36.63.75.44,2,4,ZHKJAH,dongao123,,
112.31.20.203,2,4,ZHKJAH,dongao123,,
183.161.35.12,2,4,ZHKJAH,dongao123,,
220.178.83.43,2,4,dongao123,ZHKJAH,,
112.26.58.179,2,4,ZHKJAH,dongao123,,
112.28.106.45,2,4,004,dongao123,,
218.22.98.226,2,4,ZHKJAH,dongao123,,
36.7.141.26,2,4,dongao123,ZHKJAH,,
183.162.249.210,2,4,004,dongao123,,
112.122.139.10,2,4,dongao123,ZHKJAH,,
218.22.191.82,1,4,dongao123,,,
220.179.229.22,2,4,ZHKJAH,dongao123,,
220.180.208.244,2,4,004,dongao123,,
112.132.162.50,2,4,ZHKJAH,dongao123,,
112.26.19.103,2,4,ZHKJAH,dongao123,,
112.132.249.171,2,4,dongao123,ZHKJAH,,
58.242.39.98,2,4,ZHKJAH,dongao123,,
112.27.103.33,2,4,ZHKJAH,dongao123,,
112.28.121.157,2,4,ZHKJAH,dongao123,,
114.105.38.119,1,4,dongao123,,,
220.178.164.22,3,4,ZHKJAH,dongao123,004,
120.243.42.192,2,4,dongao123,004,,
60.172.160.46,3,4,ZHKJAH,dongao123,004,
218.23.49.11,2,4,004,ZHKJAH,,
60.171.173.7,2,4,dongao123,ZHKJAH,,
112.32.177.145,1,4,dongao123,,,
220.178.83.35,2,4,dongao123,ZHKJAH,,
36.35.112.70,2,4,ZHKJAH,dongao123,,
218.22.134.126,2,4,ZHKJAH,dongao123,,
117.71.110.160,3,4,004,dongao123,ZHKJAH,
183.166.61.14,2,4,dongao123,ZHKJAH,,
60.172.160.45,2,4,ZHKJAH,dongao123,,
220.178.150.42,1,4,dongao123,,,
223.241.100.153,1,4,dongao123,,,
111.39.156.4,2,4,dongao123,ZHKJAH,,
112.27.211.31,2,4,004,dongao123,,
218.22.105.134,1,4,dongao123,,,
111.39.156.27,3,4,004,dongao123,ZHKJAH,
117.65.189.28,1,4,dongao123,,,
220.178.1.34,1,4,ZHKJAH,,,
220.179.124.54,2,4,dongao123,ZHKJAH,,
60.173.128.173,2,4,ZHKJAH,004,,
60.170.110.145,1,4,dongao123,,,
223.243.99.200,3,4,004,dongao123,ZHKJAH,
60.170.236.211,1,4,dongao123,,,
220.178.83.45,2,4,dongao123,ZHKJAH,,
60.170.29.46,1,4,dongao123,,,
60.173.225.80,2,4,dongao123,ZHKJAH,,
27.186.4.144,2,4,ZHKJAH,004,,
60.167.77.184,2,4,ZHKJAH,dongao123,,
220.180.213.18,3,4,004,dongao123,ZHKJAH,
183.164.250.205,2,4,ZHKJAH,dongao123,,
60.175.44.252,1,4,ZHKJAH,,,
112.32.181.98,1,4,dongao123,,,
27.186.0.88,1,3,ZHKJAH,,,
114.104.89.231,2,3,004,dongao123,,
112.32.178.130,2,3,dc001,dongao123,,
183.164.21.15,2,3,dongao123,004,,
218.23.218.148,1,3,dongao123,,,
218.22.88.141,3,3,004,ZHKJAH,dongao123,
112.32.181.244,1,3,dongao123,,,
60.167.74.130,3,3,004,ZHKJAH,dongao123,
60.170.30.207,1,3,dongao123,,,
124.113.226.75,2,3,ZHKJAH,dongao123,,
218.23.57.135,2,3,dongao123,004,,
58.242.44.35,2,3,ZHKJAH,dongao123,,
112.26.82.51,3,3,004,dongao123,ZHKJAH,
36.6.24.113,1,3,dongao123,,,
223.215.91.153,1,3,dongao123,,,
61.191.104.90,1,3,dongao123,,,
60.173.195.80,2,3,dc001,dongao123,,
112.122.139.8,2,3,dongao123,ZHKJAH,,
114.103.190.86,1,3,dongao123,,,
60.175.166.6,3,3,ZHKJAH,dongao123,004,
112.32.32.93,1,3,dongao123,,,
112.26.6.109,1,3,ZHKJAH,,,
61.190.8.254,1,3,ZHKJAH,,,
60.175.115.33,2,3,dongao123,ZHKJAH,,
60.171.244.139,3,3,dongao123,ZHKJAH,004,
220.180.150.242,2,3,004,ZHKJAH,,
112.27.156.150,2,3,dongao123,ZHKJAH,,
60.173.220.91,2,3,ZHKJAH,dongao123,,
60.171.244.179,1,3,dongao123,,,
183.167.205.82,3,3,ZHKJAH,dongao123,004,
36.33.8.138,2,3,004,ZHKJAH,,
220.178.213.114,2,3,ZHKJAH,dongao123,,
114.104.196.72,2,3,dongao123,ZHKJAH,,
223.241.214.82,2,3,dongao123,ZHKJAH,,
114.98.95.247,2,3,dongao123,ZHKJAH,,
58.242.44.39,3,3,004,dongao123,ZHKJAH,
58.242.239.162,2,3,dongao123,ZHKJAH,,
60.172.42.67,3,3,004,ZHKJAH,dongao123,
183.167.254.70,1,3,dongao123,,,
112.53.225.71,2,3,dongao123,ZHKJAH,,
36.56.93.4,1,3,ZHKJAH,,,
36.7.122.180,2,3,dongao123,ZHKJAH,,
112.27.58.167,3,3,004,dongao123,ZHKJAH,
124.73.199.73,1,3,dongao123,,,
117.65.190.124,1,3,dongao123,,,
117.65.167.251,2,3,dongao123,ZHKJAH,,
218.22.185.196,2,3,dongao123,ZHKJAH,,
220.178.83.38,2,3,dongao123,ZHKJAH,,
183.162.217.92,2,3,dongao123,ZHKJAH,,
36.7.144.218,1,3,dongao123,,,
220.178.83.39,2,3,dongao123,ZHKJAH,,
112.32.180.218,1,3,dongao123,,,
58.20.168.128,2,3,dongao123,ZHKJAH,,
211.141.223.23,1,3,dongao123,,,
111.39.155.70,1,3,ZHKJAH,,,
112.27.238.132,2,3,ZHKJAH,dongao123,,
223.243.126.107,3,3,004,ZHKJAH,dongao123,
61.133.143.39,2,3,dongao123,ZHKJAH,,
60.174.151.87,2,3,ZHKJAH,dongao123,,
60.170.103.239,2,3,ZHKJAH,dongao123,,
60.171.156.67,3,3,ZHKJAH,dongao123,004,
60.175.245.3,2,3,004,dongao123,,
60.171.17.28,3,3,004,ZHKJAH,dongao123,
112.29.106.27,2,3,ZHKJAH,dongao123,,
223.241.214.114,1,3,dongao123,,,
112.122.139.9,2,3,dongao123,ZHKJAH,,
36.33.35.18,2,3,dongao123,ZHKJAH,,
60.168.146.11,2,3,ZHKJAH,dongao123,,
223.241.223.138,2,3,dc001,dongao123,,
112.31.208.19,2,3,ZHKJAH,dongao123,,
61.190.59.115,2,3,ZHKJAH,dongao123,,
220.178.168.145,2,3,004,ZHKJAH,,
36.56.93.240,1,3,ZHKJAH,,,
60.174.154.66,3,3,dongao123,ZHKJAH,004,
223.243.96.10,2,3,ZHKJAH,dongao123,,
60.172.69.58,1,3,dongao123,,,
220.179.124.179,2,3,ZHKJAH,dongao123,,
112.123.239.82,3,3,004,ZHKJAH,dongao123,
112.29.118.88,1,3,dongao123,,,
60.170.236.215,2,3,ZHKJAH,dongao123,,
60.174.148.43,1,3,ZHKJAH,,,
60.166.52.250,2,3,dongao123,ZHKJAH,,
218.22.142.230,2,3,dongao123,ZHKJAH,,
58.242.238.198,1,3,dongao123,,,
183.166.61.4,2,3,ZHKJAH,dongao123,,
60.173.76.114,1,3,dongao123,,,
36.7.153.103,2,3,ZHKJAH,dongao123,,
112.27.88.252,1,3,dongao123,,,
223.247.33.12,1,3,dongao123,,,
114.99.103.32,1,3,dongao123,,,
220.180.150.241,2,3,004,ZHKJAH,,
60.175.203.82,3,3,004,ZHKJAH,dongao123,
61.191.156.225,2,3,dongao123,ZHKJAH,,
218.23.208.93,2,3,ZHKJAH,dongao123,,
60.170.180.157,2,3,004,dongao123,,
60.173.3.128,1,3,dongao123,,,
112.132.249.148,1,3,dongao123,,,
112.32.92.164,1,3,ZHKJAH,,,
60.173.87.5,3,3,004,ZHKJAH,dongao123,
220.180.50.167,2,3,ZHKJAH,dongao123,,
112.123.170.26,1,3,ZHKJAH,,,
36.7.82.193,2,3,dongao123,ZHKJAH,,
60.175.116.134,1,3,dongao123,,,
220.178.37.14,2,3,dongao123,ZHKJAH,,
60.172.0.134,2,3,dongao123,ZHKJAH,,
60.173.1.225,2,3,dongao123,ZHKJAH,,
